Cumulative cohort fertility rates by birth order (horizontal parallelograms
Last modified: 25/09/2014
Code Cohort  Age     CCFR     CCFR1     CCFR2     CCFR3     CCFR4    CCFR5p
AUT  1974    53         .         .         .         .         .         .
AUT  1974    54         .         .         .         .         .         .
AUT  1974    55         .         .         .         .         .         .
AUT  1975    12     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1975    13     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1975    14     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1975    15     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1975    16     0.002     0.002     0.000     0.000     0.000     0.000
AUT  1975    17     0.009     0.009     0.001     0.000     0.000     0.000
AUT  1975    18     0.027     0.025     0.002     0.000     0.000     0.000
AUT  1975    19     0.056     0.050     0.005     0.001     0.000     0.000
AUT  1975    20     0.098     0.087     0.011     0.001     0.000     0.000
AUT  1975    21     0.153     0.129     0.022     0.002     0.000     0.000
AUT  1975    22     0.216     0.174     0.038     0.004     0.000     0.000
AUT  1975    23     0.286     0.219     0.060     0.007     0.001     0.000
AUT  1975    24     0.364     0.266     0.085     0.011     0.001     0.000
AUT  1975    25     0.450     0.314     0.115     0.018     0.002     0.000
AUT  1975    26     0.539     0.362     0.148     0.025     0.004     0.001
AUT  1975    27     0.633     0.409     0.182     0.035     0.005     0.001
AUT  1975    28     0.732     0.458     0.219     0.046     0.008     0.002
AUT  1975    29     0.832     0.503     0.258     0.058     0.011     0.002
AUT  1975    30     0.932     0.546     0.298     0.071     0.014     0.003
AUT  1975    31     1.028     0.587     0.334     0.085     0.018     0.004
AUT  1975    32     1.121     0.625     0.371     0.098     0.022     0.006
AUT  1975    33     1.206     0.656     0.405     0.111     0.026     0.007
AUT  1975    34     1.284     0.684     0.437     0.124     0.030     0.009
AUT  1975    35     1.355     0.707     0.466     0.137     0.034     0.011
AUT  1975    36         .         .         .         .         .         .
AUT  1975    37         .         .         .         .         .         .
AUT  1975    38         .         .         .         .         .         .
AUT  1975    39         .         .         .         .         .         .
AUT  1975    40         .         .         .         .         .         .
AUT  1975    41         .         .         .         .         .         .
AUT  1975    42         .         .         .         .         .         .
AUT  1975    43         .         .         .         .         .         .
AUT  1975    44         .         .         .         .         .         .
AUT  1975    45         .         .         .         .         .         .
AUT  1975    46         .         .         .         .         .         .
AUT  1975    47         .         .         .         .         .         .
AUT  1975    48         .         .         .         .         .         .
AUT  1975    49         .         .         .         .         .         .
AUT  1975    50         .         .         .         .         .         .
AUT  1975    51         .         .         .         .         .         .
AUT  1975    52         .         .         .         .         .         .
AUT  1975    53         .         .         .         .         .         .
AUT  1975    54         .         .         .         .         .         .
AUT  1975    55         .         .         .         .         .         .
AUT  1976    12     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1976    13     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1976    14     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1976    15     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1976    16     0.002     0.002     0.000     0.000     0.000     0.000
AUT  1976    17     0.009     0.009     0.000     0.000     0.000     0.000
AUT  1976    18     0.024     0.023     0.001     0.000     0.000     0.000
AUT  1976    19     0.049     0.045     0.004     0.000     0.000     0.000
AUT  1976    20     0.089     0.079     0.009     0.001     0.000     0.000
AUT  1976    21     0.140     0.119     0.019     0.002     0.000     0.000
AUT  1976    22     0.198     0.160     0.034     0.004     0.000     0.000
AUT  1976    23     0.266     0.204     0.054     0.007     0.000     0.000
AUT  1976    24     0.339     0.248     0.079     0.011     0.001     0.000
AUT  1976    25     0.421     0.295     0.107     0.017     0.002     0.000
AUT  1976    26     0.507     0.341     0.137     0.024     0.004     0.001
AUT  1976    27     0.600     0.388     0.171     0.033     0.005     0.001
AUT  1976    28     0.698     0.437     0.208     0.044     0.008     0.002
AUT  1976    29     0.796     0.482     0.245     0.056     0.010     0.003
AUT  1976    30     0.897     0.527     0.283     0.069     0.014     0.004
AUT  1976    31     0.995     0.570     0.321     0.082     0.017     0.005
AUT  1976    32     1.089     0.608     0.358     0.096     0.021     0.007
AUT  1976    33     1.175     0.641     0.392     0.110     0.025     0.008
AUT  1976    34     1.255     0.670     0.424     0.123     0.029     0.010
AUT  1976    35         .         .         .         .         .         .
AUT  1976    36         .         .         .         .         .         .
AUT  1976    37         .         .         .         .         .         .
AUT  1976    38         .         .         .         .         .         .
AUT  1976    39         .         .         .         .         .         .
AUT  1976    40         .         .         .         .         .         .
AUT  1976    41         .         .         .         .         .         .
AUT  1976    42         .         .         .         .         .         .
AUT  1976    43         .         .         .         .         .         .
AUT  1976    44         .         .         .         .         .         .
AUT  1976    45         .         .         .         .         .         .
AUT  1976    46         .         .         .         .         .         .
AUT  1976    47         .         .         .         .         .         .
AUT  1976    48         .         .         .         .         .         .
AUT  1976    49         .         .         .         .         .         .
AUT  1976    50         .         .         .         .         .         .
AUT  1976    51         .         .         .         .         .         .
AUT  1976    52         .         .         .         .         .         .
AUT  1976    53         .         .         .         .         .         .
AUT  1976    54         .         .         .         .         .         .
AUT  1976    55         .         .         .         .         .         .
AUT  1977    12     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1977    13     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1977    14     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1977    15     0.001     0.001     0.000     0.000     0.000     0.000
AUT  1977    16     0.002     0.002     0.000     0.000     0.000     0.000
AUT  1977    17     0.009     0.009     0.000     0.000     0.000     0.000
AUT  1977    18     0.023     0.022     0.001     0.000     0.000     0.000
AUT  1977    19     0.046     0.042     0.004     0.000     0.000     0.000
AUT  1977    20     0.085     0.075     0.009     0.001     0.000     0.000
AUT  1977    21     0.133     0.113     0.019     0.002     0.000     0.000
AUT  1977    22     0.191     0.154     0.033     0.004     0.000     0.000
AUT  1977    23     0.257     0.197     0.052     0.007     0.001     0.000
AUT  1977    24     0.329     0.241     0.077     0.010     0.001     0.000
AUT  1977    25     0.408     0.285     0.103     0.016     0.002     0.001
AUT  1977    26     0.496     0.333     0.136     0.023     0.004     0.001
AUT  1977    27     0.586     0.379     0.168     0.032     0.006     0.001
AUT  1977    28     0.684     0.427     0.204     0.043     0.008     0.002
AUT  1977    29     0.784     0.474     0.241     0.055     0.011     0.003
AUT  1977    30     0.880     0.516     0.278     0.068     0.014     0.004
AUT  1977    31     0.976     0.557     0.316     0.080     0.018     0.005
AUT  1977    32     1.068     0.595     0.352     0.094     0.021     0.006
AUT  1977    33     1.158     0.630     0.388     0.107     0.025     0.008
AUT  1977    34         .         .         .         .         .         .
AUT  1977    35         .         .         .         .         .         .
AUT  1977    36         .         .         .         .         .         .
AUT  1977    37         .         .         .         .         .         .
AUT  1977    38         .         .         .         .         .         .
AUT  1977    39         .         .         .         .         .         .
AUT  1977    40         .         .         .         .         .         .
AUT  1977    41         .         .         .         .         .         .
AUT  1977    42         .         .         .         .         .         .
AUT  1977    43         .         .         .         .         .         .
AUT  1977    44         .         .         .         .         .         .
AUT  1977    45         .         .         .         .         .         .
AUT  1977    46         .         .         .         .         .         .
AUT  1977    47         .         .         .         .         .         .
AUT  1977    48         .         .         .         .         .         .
AUT  1977    49         .         .         .         .         .         .
AUT  1977    50         .         .         .         .         .         .
AUT  1977    51         .         .         .         .         .         .
AUT  1977    52         .         .         .         .         .         .
AUT  1977    53         .         .         .         .         .         .
AUT  1977    54         .         .         .         .         .         .
AUT  1977    55         .         .         .         .         .         .
AUT  1978    12     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1978    13     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1978    14     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1978    15     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1978    16     0.002     0.002     0.000     0.000     0.000     0.000
AUT  1978    17     0.008     0.007     0.000     0.000     0.000     0.000
AUT  1978    18     0.020     0.019     0.001     0.000     0.000     0.000
AUT  1978    19     0.043     0.040     0.003     0.000     0.000     0.000
AUT  1978    20     0.078     0.070     0.007     0.000     0.000     0.000
AUT  1978    21     0.125     0.108     0.016     0.001     0.000     0.000
AUT  1978    22     0.183     0.149     0.030     0.003     0.000     0.000
AUT  1978    23     0.247     0.191     0.049     0.006     0.001     0.000
AUT  1978    24     0.318     0.235     0.072     0.010     0.001     0.000
AUT  1978    25     0.397     0.280     0.099     0.015     0.002     0.000
AUT  1978    26     0.483     0.327     0.129     0.023     0.004     0.001
AUT  1978    27     0.573     0.374     0.161     0.031     0.005     0.001
AUT  1978    28     0.667     0.420     0.196     0.041     0.008     0.002
AUT  1978    29     0.765     0.466     0.232     0.053     0.010     0.003
AUT  1978    30     0.862     0.510     0.270     0.065     0.013     0.004
AUT  1978    31     0.959     0.552     0.307     0.078     0.017     0.005
AUT  1978    32     1.056     0.591     0.347     0.091     0.020     0.006
AUT  1978    33         .         .         .         .         .         .
AUT  1978    34         .         .         .         .         .         .
AUT  1978    35         .         .         .         .         .         .
AUT  1978    36         .         .         .         .         .         .
AUT  1978    37         .         .         .         .         .         .
AUT  1978    38         .         .         .         .         .         .
AUT  1978    39         .         .         .         .         .         .
AUT  1978    40         .         .         .         .         .         .
AUT  1978    41         .         .         .         .         .         .
AUT  1978    42         .         .         .         .         .         .
AUT  1978    43         .         .         .         .         .         .
AUT  1978    44         .         .         .         .         .         .
AUT  1978    45         .         .         .         .         .         .
AUT  1978    46         .         .         .         .         .         .
AUT  1978    47         .         .         .         .         .         .
AUT  1978    48         .         .         .         .         .         .
AUT  1978    49         .         .         .         .         .         .
AUT  1978    50         .         .         .         .         .         .
AUT  1978    51         .         .         .         .         .         .
AUT  1978    52         .         .         .         .         .         .
AUT  1978    53         .         .         .         .         .         .
AUT  1978    54         .         .         .         .         .         .
AUT  1978    55         .         .         .         .         .         .
AUT  1979    12     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1979    13     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1979    14     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1979    15     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1979    16     0.002     0.002     0.000     0.000     0.000     0.000
AUT  1979    17     0.007     0.006     0.000     0.000     0.000     0.000
AUT  1979    18     0.019     0.017     0.001     0.000     0.000     0.000
AUT  1979    19     0.039     0.036     0.003     0.000     0.000     0.000
AUT  1979    20     0.074     0.066     0.008     0.000     0.000     0.000
AUT  1979    21     0.120     0.103     0.016     0.001     0.000     0.000
AUT  1979    22     0.174     0.142     0.029     0.003     0.000     0.000
AUT  1979    23     0.236     0.183     0.047     0.005     0.000     0.000
AUT  1979    24     0.302     0.225     0.067     0.009     0.001     0.000
AUT  1979    25     0.380     0.269     0.095     0.014     0.002     0.000
AUT  1979    26     0.466     0.316     0.126     0.021     0.003     0.001
AUT  1979    27     0.555     0.361     0.158     0.030     0.005     0.001
AUT  1979    28     0.648     0.407     0.193     0.039     0.007     0.002
AUT  1979    29     0.746     0.452     0.231     0.051     0.010     0.002
AUT  1979    30     0.843     0.497     0.266     0.063     0.013     0.003
AUT  1979    31     0.940     0.541     0.303     0.076     0.016     0.004
AUT  1979    32         .         .         .         .         .         .
AUT  1979    33         .         .         .         .         .         .
AUT  1979    34         .         .         .         .         .         .
AUT  1979    35         .         .         .         .         .         .
AUT  1979    36         .         .         .         .         .         .
AUT  1979    37         .         .         .         .         .         .
AUT  1979    38         .         .         .         .         .         .
AUT  1979    39         .         .         .         .         .         .
AUT  1979    40         .         .         .         .         .         .
AUT  1979    41         .         .         .         .         .         .
AUT  1979    42         .         .         .         .         .         .
AUT  1979    43         .         .         .         .         .         .
AUT  1979    44         .         .         .         .         .         .
AUT  1979    45         .         .         .         .         .         .
AUT  1979    46         .         .         .         .         .         .
AUT  1979    47         .         .         .         .         .         .
AUT  1979    48         .         .         .         .         .         .
AUT  1979    49         .         .         .         .         .         .
AUT  1979    50         .         .         .         .         .         .
AUT  1979    51         .         .         .         .         .         .
AUT  1979    52         .         .         .         .         .         .
AUT  1979    53         .         .         .         .         .         .
AUT  1979    54         .         .         .         .         .         .
AUT  1979    55         .         .         .         .         .         .
AUT  1980    12     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1980    13     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1980    14     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1980    15     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1980    16     0.002     0.001     0.000     0.000     0.000     0.000
