Census-based period fertility tables, birth orders 1 to 5+
Last modified: 25/09/2014
Code Year     x       w0x       m1x       q1x     l0x    b1x     L0x   Sb1x       w1x       m2x       q2x    l1x    b2x     L1x   Sb2x       w2x       m3x       q3x    l2x    b3x     L2x   Sb3x       w3x       m4x       q4x    l3x    b4x     L3x   Sb4x       w4x      m5px      q5px    l4x   b5px     L4x  Sb5px
AUT  2001    27   0.53351   0.08480   0.08135    6268    510    6013   3732   0.24648   0.15174   0.14104   2277    360    2371   1455   0.17733   0.05778   0.05616   1227     78    1353    228   0.03553   0.06409   0.06210    196     14     224     32   0.00714   0.11756   0.11103     32      5      38      5
AUT  2001    28   0.47668   0.08644   0.08286    5758    477    5520   4242   0.25701   0.14970   0.13927   2427    374    2496   1815   0.21075   0.05806   0.05642   1508     95    1635    306   0.04573   0.05234   0.05100    260     15     296     47   0.00983   0.07453   0.07185     47      4      53      9
AUT  2001    29   0.42246   0.09006   0.08618    5281    455    5054   4719   0.26577   0.14080   0.13154   2530    365    2591   2188   0.24393   0.05028   0.04905   1787     96    1910    401   0.05523   0.05177   0.05046    339     19     374     62   0.01261   0.07784   0.07492     62      6      71     13
AUT  2001    30   0.37224   0.09293   0.08881    4826    429    4612   5174   0.27111   0.13042   0.12244   2621    349    2674   2553   0.27589   0.04548   0.04447   2056     99    2171    497   0.06534   0.05019   0.04897    416     23     451     82   0.01541   0.06881   0.06652     82      6      92     19
AUT  2001    31   0.32959   0.08657   0.08298    4397    365    4215   5603   0.27268   0.12206   0.11504   2700    333    2727   2902   0.30339   0.04098   0.04016   2306     99    2415    596   0.07541   0.04487   0.04389    492     24     527    104   0.01893   0.05085   0.04959    104      6     115     25
AUT  2001    32   0.29448   0.07711   0.07425    4033    299    3883   5967   0.26892   0.10586   0.10054   2732    291    2745   3235   0.32676   0.03725   0.03657   2540     98    2631    695   0.08648   0.03459   0.03400    567     21     604    128   0.02336   0.05363   0.05223    128      7     137     31
AUT  2001    33   0.26442   0.06975   0.06740    3733    252    3607   6267   0.26301   0.09188   0.08785   2741    252    2747   3526   0.34704   0.03294   0.03241   2733     93    2809    793   0.09805   0.03902   0.03827    644     26     676    149   0.02748   0.04941   0.04822    149      8     161     38
AUT  2001    34   0.23759   0.06303   0.06111    3482    213    3375   6518   0.25369   0.07588   0.07311   2740    208    2747   3778   0.36453   0.02688   0.02653   2892     79    2954    886   0.11248   0.03102   0.03055    710     23     738    175   0.03171   0.03806   0.03735    175      7     186     46
AUT  2001    35   0.21641   0.05113   0.04986    3269    163    3187   6731   0.24637   0.06103   0.05922   2745    168    2745   3986   0.37183   0.02554   0.02521   3021     78    3065    965   0.12717   0.02561   0.02529    767     20     795    198   0.03822   0.03842   0.03770    198      8     208     53
AUT  2001    36   0.20131   0.04395   0.04301    3106    134    3039   6894   0.24449   0.04596   0.04493   2740    126    2745   4154   0.37686   0.01853   0.01836   3111     58    3144   1043   0.13353   0.02227   0.02202    825     19     844    218   0.04380   0.03410   0.03353    218      8     227     61
AUT  2001    37   0.19080   0.03290   0.03237    2972     96    2924   7028   0.24125   0.03387   0.03330   2748     93    2750   4280   0.38236   0.01575   0.01562   3179     50    3199   1102   0.13760   0.01697   0.01682    864     15     882    237   0.04799   0.02848   0.02808    237      7     244     69
AUT  2001    38   0.18040   0.02502   0.02471    2876     71    2841   7124   0.23916   0.02729   0.02692   2751     75    2749   4373   0.38416   0.01234   0.01227   3221     40    3239   1152   0.14341   0.01424   0.01414    900     13     913    252   0.05288   0.02512   0.02481    252      6     259     76
AUT  2001    39   0.17202   0.01919   0.01901    2805     53    2778   7195   0.23650   0.01944   0.01925   2747     53    2747   4448   0.38602   0.00874   0.00870   3256     29    3269   1192   0.14801   0.00976   0.00971    927      9     936    265   0.05745   0.02052   0.02031    265      6     270     83
AUT  2001    40   0.16752   0.01391   0.01381    2752     38    2733   7248   0.23332   0.01201   0.01194   2747     33    2749   4502   0.38298   0.00696   0.00693   3281     23    3286   1220   0.15309   0.00995   0.00990    946      9     953    274   0.06309   0.01641   0.01628    274      5     279     88
AUT  2001    41   0.16439   0.00963   0.00959    2714     26    2701   7286   0.23243   0.00816   0.00813   2752     22    2753   4535   0.37954   0.00430   0.00429   3291     14    3295   1243   0.15624   0.00702   0.00700    960      7     963    284   0.06739   0.01000   0.00995    284      3     287     93
AUT  2001    42   0.16142   0.00561   0.00560    2688     15    2680   7312   0.23266   0.00410   0.00409   2755     11    2757   4557   0.37956   0.00243   0.00243   3300      8    3301   1258   0.15824   0.00327   0.00327    967      3     969    291   0.06813   0.00831   0.00828    291      2     292     96
AUT  2001    43   0.15834   0.00274   0.00274    2673      7    2669   7327   0.23415   0.00264   0.00263   2759      7    2759   4568   0.37872   0.00167   0.00167   3303      6    3304   1266   0.15959   0.00261   0.00261    972      3     973    294   0.06920   0.00579   0.00577    294      2     295     98
AUT  2001    44   0.15492   0.00163   0.00163    2665      4    2663   7335   0.23509   0.00136   0.00136   2759      4    2759   4576   0.37803   0.00089   0.00089   3305      3    3305   1271   0.15939   0.00127   0.00127    975      1     976    296   0.07258   0.00394   0.00394    296      1     297    100
AUT  2001    45   0.15165   0.00069   0.00069    2661      2    2660   7339   0.23275   0.00022   0.00022   2759      1    2760   4579   0.37683   0.00056   0.00056   3305      2    3305   1274   0.16171   0.00054   0.00054    977      1     977    297   0.07706   0.00294   0.00294    297      1     298    101
AUT  2001    46   0.14736   0.00013   0.00013    2659      0    2659   7341   0.23171   0.00024   0.00024   2761      1    2761   4580   0.37578   0.00030   0.00030   3304      1    3304   1276   0.16553   0.00045   0.00045    978      0     978    298   0.07961   0.00116   0.00116    298      0     298    102
AUT  2001    47   0.14199   0.00027   0.00027    2659      1    2658   7341   0.23155   0.00017   0.00017   2760      0    2761   4581   0.37434   0.00010   0.00010   3304      0    3304   1277   0.16833   0.00000   0.00000    978      0     979    298   0.08378   0.00046   0.00046    298      0     298    102
AUT  2001    48   0.13692   0.00000   0.00000    2658      0    2658   7342   0.23191   0.00000   0.00000   2761      0    2761   4581   0.37400   0.00000   0.00000   3304      0    3304   1277   0.16861   0.00000   0.00000    979      0     979    298   0.08855   0.00000   0.00000    298      0     298    102
