Crude birth rate
Last modified: 25/09/2014
Code Year      CBR
LTU  1959    22.80
LTU  1960    22.55
LTU  1961    22.30
LTU  1962    20.91
LTU  1963    19.71
LTU  1964    19.06
LTU  1965    18.13
LTU  1966    18.07
LTU  1967    17.71
LTU  1968    17.66
LTU  1969    17.47
LTU  1970    17.69
LTU  1971    17.66
LTU  1972    17.02
LTU  1973    16.03
LTU  1974    15.88
LTU  1975    15.69
LTU  1976    15.71
LTU  1977    15.54
LTU  1978    15.32
LTU  1979    15.24
LTU  1980    15.09
LTU  1981    15.13
LTU  1982    15.28
LTU  1983    16.43
LTU  1984    16.29
LTU  1985    16.41
LTU  1986    16.61
LTU  1987    16.36
LTU  1988    15.50
LTU  1989    15.14
LTU  1990    15.38
LTU  1991    15.13
LTU  1992    14.71
LTU  1993    12.89
LTU  1994    11.59
LTU  1995    11.36
LTU  1996    10.85
LTU  1997    10.58
LTU  1998    10.43
LTU  1999    10.34
LTU  2000     9.75
LTU  2001     8.98
LTU  2002     8.58
LTU  2003     8.78
LTU  2004     8.82
LTU  2005     8.88
LTU  2006     9.06
LTU  2007     9.29
LTU  2008     9.86
LTU  2009    10.17
LTU  2010     9.91
LTU  2011    10.00
NLD  1950    22.71
NLD  1951    22.25
NLD  1952    22.33
NLD  1953    21.72
NLD  1954    21.49
NLD  1955    21.32
NLD  1956    21.26
NLD  1957    21.21
NLD  1958    21.17
NLD  1959    21.37
NLD  1960    20.82
NLD  1961    21.25
NLD  1962    20.85
NLD  1963    20.88
NLD  1964    20.69
NLD  1965    19.94
NLD  1966    19.23
NLD  1967    18.94
NLD  1968    18.62
NLD  1969    19.22
NLD  1970    18.32
NLD  1971    17.21
NLD  1972    16.06
NLD  1973    14.50
NLD  1974    13.73
NLD  1975    13.01
NLD  1976    12.86
NLD  1977    12.51
NLD  1978    12.59
NLD  1979    12.47
NLD  1980    12.82
NLD  1981    12.54
NLD  1982    12.02
NLD  1983    11.85
NLD  1984    12.09
NLD  1985    12.29
NLD  1986    12.66
NLD  1987    12.73
NLD  1988    12.65
NLD  1989    12.73
NLD  1990    13.24
NLD  1991    13.18
NLD  1992    12.96
NLD  1993    12.80
NLD  1994    12.72
NLD  1995    12.33
NLD  1996    12.21
NLD  1997    12.33
NLD  1998    12.70
NLD  1999    12.68
NLD  2000    12.98
NLD  2001    12.63
NLD  2002    12.52
NLD  2003    12.35
NLD  2004    11.92
NLD  2005    11.52
NLD  2006    11.32
NLD  2007    11.07
NLD  2008    11.23
NLD  2009    11.19
NOR  1967    17.47
NOR  1968    17.65
NOR  1969    17.60
NOR  1970    16.66
NOR  1971    16.79
NOR  1972    16.34
NOR  1973    15.45
NOR  1974    14.96
NOR  1975    14.06
NOR  1976    13.29
NOR  1977    12.59
NOR  1978    12.76
NOR  1979    12.67
NOR  1980    12.50
NOR  1981    12.38
NOR  1982    12.46
NOR  1983    12.11
NOR  1984    12.15
NOR  1985    12.32
NOR  1986    12.61
NOR  1987    12.91
NOR  1988    13.67
NOR  1989    14.04
NOR  1990    14.37
NOR  1991    14.27
NOR  1992    14.02
NOR  1993    13.84
NOR  1994    13.86
NOR  1995    13.83
NOR  1996    13.90
NOR  1997    13.57
NOR  1998    13.17
NOR  1999    13.29
NOR  2000    13.19
NOR  2001    12.56
NOR  2002    12.21
NOR  2003    12.37
NOR  2004    12.40
NOR  2005    12.27
NOR  2006    12.56
NOR  2007    12.41
NOR  2008    12.69
NOR  2009    12.80
PRT  1940    24.39
PRT  1941    23.78
PRT  1942    24.05
PRT  1943    25.22
PRT  1944    25.41
PRT  1945    26.14
PRT  1946    25.47
PRT  1947    24.58
PRT  1948    26.78
PRT  1949    25.43
PRT  1950    24.37
PRT  1951    24.53
PRT  1952    24.78
PRT  1953    23.57
PRT  1954    22.91
PRT  1955    24.20
PRT  1956    23.27
PRT  1957    24.18
PRT  1958    24.15
PRT  1959    24.08
PRT  1960    24.08
PRT  1961    24.45
PRT  1962    24.73
PRT  1963    23.82
PRT  1964    24.39
PRT  1965    23.63
PRT  1966    23.30
PRT  1967    22.82
PRT  1968    22.10
PRT  1969    21.64
PRT  1970    20.81
PRT  1971    20.83
PRT  1972    19.78
PRT  1973    19.24
PRT  1974    18.94
PRT  1975    19.52
PRT  1976    20.01
PRT  1977    19.14
PRT  1978    17.48
PRT  1979    16.55
PRT  1980    16.18
PRT  1981    15.43
PRT  1982    15.25
PRT  1983    14.51
PRT  1984    14.31
PRT  1985    13.05
PRT  1986    12.66
PRT  1987    12.29
PRT  1988    12.18
PRT  1989    11.83
PRT  1990    11.62
PRT  1991    11.65
PRT  1992    11.52
PRT  1993    11.41
PRT  1994    10.90
PRT  1995    10.66
PRT  1996    10.93
PRT  1997    11.15
PRT  1998    11.14
PRT  1999    11.34
PRT  2000    11.65
PRT  2001    10.87
PRT  2002    10.97
PRT  2003    10.75
PRT  2004    10.41
PRT  2005    10.40
PRT  2006    10.01
PRT  2007     9.71
PRT  2008     9.90
PRT  2009     9.41
PRT  2010     9.59
PRT  2011     9.17
PRT  2012     8.55
RUS  1959    23.61
RUS  1960    23.16
RUS  1961    21.86
RUS  1962    20.14
RUS  1963    18.72
RUS  1964    16.88
RUS  1965    15.71
RUS  1966    15.34
RUS  1967    14.42
RUS  1968    14.07
RUS  1969    14.24
RUS  1970    14.61
RUS  1971    15.08
RUS  1972    15.30
RUS  1973    15.06
RUS  1974    15.61
RUS  1975    15.71
RUS  1976    15.90
RUS  1977    15.86
RUS  1978    15.91
RUS  1979    15.81
RUS  1980    15.91
RUS  1981    16.07
RUS  1982    16.63
RUS  1983    17.57
RUS  1984    16.97
RUS  1985    16.61
RUS  1986    17.25
RUS  1987    17.20
RUS  1988    16.03
RUS  1989    14.66
RUS  1990    13.44
RUS  1991    12.09
RUS  1992    10.69
RUS  1993     9.38
RUS  1994     9.59
RUS  1995     9.27
RUS  1996     8.88
RUS  1997     8.59
RUS  1998     8.76
RUS  1999     8.32
RUS  2000     8.70
RUS  2001     9.05
RUS  2002     9.69
RUS  2003    10.22
RUS  2004    10.45
RUS  2005    10.18
RUS  2006    10.39
RUS  2007    11.33
RUS  2008    12.08
RUS  2009    12.41
RUS  2010    12.61
SVK  1950    28.74
SVK  1951    28.49
SVK  1952    28.02
SVK  1953    27.04
SVK  1954    26.34
SVK  1955    26.12
SVK  1956    25.69
SVK  1957    24.69
SVK  1958    23.28
SVK  1959    21.64
SVK  1960    21.43
SVK  1961    20.87
SVK  1962    19.80
SVK  1963    20.37
SVK  1964    20.10
SVK  1965    19.30
SVK  1966    18.51
SVK  1967    17.48
SVK  1968    17.10
SVK  1969    17.75
SVK  1970    17.83
SVK  1971    18.22
SVK  1972    19.10
SVK  1973    20.02
SVK  1974    20.81
SVK  1975    20.61
SVK  1976    20.85
SVK  1977    20.58
SVK  1978    20.51
SVK  1979    20.32
SVK  1980    19.11
SVK  1981    18.61
SVK  1982    18.34
SVK  1983    18.11
SVK  1984    17.76
SVK  1985    17.51
SVK  1986    16.83
SVK  1987    16.15
SVK  1988    15.93
SVK  1989    15.27
SVK  1990    15.20
SVK  1991    14.88
SVK  1992    14.08
SVK  1993    13.76
SVK  1994    12.43
SVK  1995    11.48
SVK  1996    11.22
SVK  1997    11.01
SVK  1998    10.72
SVK  1999    10.46
SVK  2000    10.25
SVK  2001     9.50
SVK  2002     9.45
SVK  2003     9.61
SVK  2004     9.98
SVK  2005    10.10
SVK  2006    10.00
SVK  2007    10.08
SVK  2008    10.61
SVK  2009    11.30
SVN  1983    14.17
SVN  1984    13.62
SVN  1985    13.37
SVN  1986    13.02
SVN  1987    12.88
SVN  1988    12.65
SVN  1989    11.75
SVN  1990    11.20
SVN  1991    10.79
SVN  1992    10.01
