Tempo-adjusted total fertility rates, Bongaarts-Feeney method
Last modified: 25/09/2014
Code Year    adjTFR
SWE  2003     2.041
SWE  2004     1.978
SWE  2005     1.955
SWE  2006     2.023
SWE  2007     1.940
SWE  2008     2.016
SWE  2009     2.078
SWE  2010     2.074
CHE  1999     1.641
CHE  2000     1.832
CHE  2001     1.645
CHE  2002     1.585
CHE  2003     1.648
CHE  2004     1.707
CHE  2005     1.665
CHE  2006     1.679
CHE  2007     1.706
CHE  2008     1.753
CHE  2009     1.740
CHE  2010     1.742
TWN  1977     2.805
TWN  1978     2.930
TWN  1979     2.828
TWN  1980     2.757
TWN  1981     2.705
TWN  1982     2.610
TWN  1983     2.505
TWN  1984     2.437
TWN  1985     2.288
TWN  1986     2.015
TWN  1987     2.039
TWN  1988     2.318
TWN  1989     2.049
TWN  1990     2.059
TWN  1991     1.975
TWN  1992     1.964
TWN  1993     2.019
TWN  1994     2.051
TWN  1995     1.994
TWN  1996     2.019
TWN  1997     2.114
TWN  1998     1.794
TWN  1999     1.812
TWN  2000     1.864
TWN  2001     1.558
TWN  2002     1.579
TWN  2003     1.513
TWN  2004     1.486
TWN  2005     1.554
TWN  2006     1.668
TWN  2007     1.602
TWN  2008     1.543
TWN  2009     1.559
GBR_NIR  1998     1.998
GBR_NIR  1999     2.046
GBR_NIR  2000     2.093
GBR_NIR  2001     2.187
GBR_NIR  2002     2.055
GBR_NIR  2003     2.190
GBR_NIR  2004     2.228
GBR_NIR  2005     2.043
GBR_NIR  2006     2.212
GBR_NIR  2007     2.253
GBR_NIR  2008     2.236
GBR_NIR  2009     2.237
GBR_NIR  2010     2.215
USA  1934     2.101
USA  1935     2.098
USA  1936     2.011
USA  1937     2.060
USA  1938     2.170
USA  1939     2.107
USA  1940     2.158
USA  1941     2.331
USA  1942     2.615
USA  1943     2.814
USA  1944     3.071
USA  1945     2.638
USA  1946     2.507
USA  1947     2.493
USA  1948     2.400
USA  1949     2.646
USA  1950     2.737
USA  1951     2.988
USA  1952     3.066
USA  1953     3.038
USA  1954     3.150
USA  1955     3.125
USA  1956     3.259
USA  1957     3.390
USA  1958     3.353
USA  1959     3.423
USA  1960     3.496
USA  1961     3.490
USA  1962     3.483
USA  1963     3.644
USA  1964     3.640
USA  1965     3.298
USA  1966     2.958
USA  1967     2.822
USA  1968     2.662
USA  1969     2.507
USA  1970     2.535
USA  1971     2.460
USA  1972     2.230
USA  1973     2.065
USA  1974     2.026
USA  1975     1.995
USA  1976     1.957
USA  1977     1.967
USA  1978     1.930
USA  1979     1.938
USA  1980     1.997
USA  1981     2.006
USA  1982     1.995
USA  1983     1.988
USA  1984     1.960
USA  1985     1.969
USA  1986     1.994
USA  1987     1.989
USA  1988     1.952
USA  1989     2.000
USA  1990     2.038
USA  1991     2.067
USA  1992     2.183
USA  1993     2.225
USA  1994     2.254
USA  1995     2.220
USA  1996     2.183
USA  1997     2.145
USA  1998     2.190
USA  1999     2.262
USA  2000     2.334
USA  2001     2.328
USA  2002     2.387
USA  2003     2.309
USA  2004     2.148
USA  2005     2.065
USA  2006     2.119
USA  2007     2.242
USA  2008     2.294
USA  2009     2.349
UKR  1960     2.008
UKR  1961     2.139
UKR  1962     2.180
UKR  1963     2.062
UKR  1964     2.114
UKR  1965     1.916
UKR  1966     1.957
UKR  1967     1.892
UKR  1968     1.918
UKR  1969     1.880
UKR  1970     1.977
UKR  1971     2.053
UKR  1972     2.129
UKR  1973     1.906
UKR  1974     1.805
UKR  1975     1.829
UKR  1976     1.855
UKR  1977     1.807
UKR  1978     1.781
UKR  1979     1.816
UKR  1980     1.860
UKR  1981     1.779
UKR  1982     1.811
UKR  1983     1.992
UKR  1984     1.941
UKR  1985     2.001
UKR  1986     2.096
UKR  1987     1.990
UKR  1988     1.943
UKR  1989     1.742
