Conditional fertility rates by calendar year, age and birth order (based on parity distribution from population census)
Last modified: 25/09/2014
Code Year  Age       m1x       m2x       m3x       m4x      m5px
CHL  1992   35   0.07086   0.12552   0.07696   0.04695   0.05056
CHL  1992   36   0.06083   0.10964   0.06873   0.04368   0.04618
CHL  1992   37   0.05522   0.09513   0.06019   0.03832   0.04466
CHL  1992   38   0.04683   0.08184   0.05119   0.03298   0.03972
CHL  1992   39   0.03415   0.06076   0.04080   0.02531   0.03026
CHL  1992   40   0.03050   0.04740   0.02972   0.02092   0.02464
CHL  1992   41   0.01735   0.03152   0.02023   0.01353   0.01639
CHL  1992   42   0.01581   0.02550   0.01537   0.01190   0.01438
CHL  1992   43   0.00605   0.01090   0.00810   0.00481   0.00765
CHL  1992   44   0.00478   0.00714   0.00403   0.00297   0.00608
CHL  1992   45   0.00205   0.00539   0.00226   0.00187   0.00277
CHL  1992   46   0.00115   0.00241   0.00094   0.00081   0.00175
CHL  1992   47   0.00042   0.00063   0.00038   0.00051   0.00093
CHL  1992   48   0.00042   0.00068   0.00033   0.00042   0.00042
CHL  1992   49   0.00014   0.00018   0.00036   0.00015   0.00034
CHL  1992   50   0.00073   0.00000   0.00000   0.00017   0.00009
CHL  1992   51   0.00000   0.00039   0.00000   0.00000   0.00000
CHL  1992   52   0.00000   0.00000   0.00046   0.00000   0.00008
CHL  1992   53   0.00000   0.00021   0.00000   0.00000   0.00000
CHL  1992   54   0.00000   0.00000   0.00000   0.00000   0.00000
CHL  1992   55+  0.00035   0.00071   0.00046   0.00013   0.00005
CHL  2002   12-  0.00013         .         .         .         .
CHL  2002   13   0.00137   0.01435         .         .         .
CHL  2002   14   0.00669   0.00931   0.00000   0.00000   0.00000
CHL  2002   15   0.01978   0.01852   0.00110   0.00000   0.00000
CHL  2002   16   0.04307   0.03052   0.00347   0.00000   0.00000
CHL  2002   17   0.06511   0.04689   0.03031   0.00000   0.00000
CHL  2002   18   0.08433   0.06188   0.04340   0.01768   0.00000
CHL  2002   19   0.10157   0.07362   0.05672   0.04274   0.00000
CHL  2002   20   0.10424   0.08230   0.06576   0.05990   0.02113
CHL  2002   21   0.09992   0.08996   0.06704   0.05234   0.01972
CHL  2002   22   0.09327   0.09602   0.07019   0.06826   0.04866
CHL  2002   23   0.08966   0.10114   0.07436   0.08412   0.04195
CHL  2002   24   0.09221   0.10323   0.07663   0.08519   0.04245
CHL  2002   25   0.09410   0.11146   0.07282   0.07061   0.06282
CHL  2002   26   0.09562   0.11814   0.07349   0.07753   0.06381
CHL  2002   27   0.10440   0.12279   0.07159   0.07354   0.07127
CHL  2002   28   0.10975   0.12905   0.07316   0.06946   0.07601
CHL  2002   29   0.11040   0.13182   0.07384   0.06641   0.06654
CHL  2002   30   0.10367   0.13213   0.07147   0.06106   0.06566
CHL  2002   31   0.09963   0.13206   0.06830   0.05763   0.06547
CHL  2002   32   0.08988   0.12292   0.06764   0.05335   0.05622
CHL  2002   33   0.08211   0.12046   0.05997   0.05057   0.04759
CHL  2002   34   0.06979   0.11922   0.05977   0.04978   0.04879
CHL  2002   35   0.05879   0.10872   0.05708   0.04616   0.04700
CHL  2002   36   0.05021   0.09349   0.04958   0.03700   0.04032
CHL  2002   37   0.04281   0.08197   0.04578   0.03413   0.03203
CHL  2002   38   0.03740   0.06716   0.04015   0.02900   0.02871
CHL  2002   39   0.03071   0.05483   0.03377   0.02410   0.02661
CHL  2002   40   0.02536   0.04114   0.02612   0.02020   0.02382
CHL  2002   41   0.01653   0.02660   0.01746   0.01383   0.01591
CHL  2002   42   0.01098   0.01750   0.01232   0.00803   0.01061
CHL  2002   43   0.00595   0.00840   0.00768   0.00561   0.00761
CHL  2002   44   0.00431   0.00554   0.00371   0.00361   0.00343
CHL  2002   45   0.00131   0.00205   0.00218   0.00173   0.00255
CHL  2002   46   0.00048   0.00051   0.00076   0.00074   0.00131
CHL  2002   47   0.00041   0.00027   0.00020   0.00052   0.00051
CHL  2002   48   0.00032   0.00000   0.00004   0.00009   0.00004
CHL  2002   49   0.00000   0.00010   0.00005   0.00000   0.00004
CHL  2002   50   0.00000   0.00000   0.00000   0.00000   0.00004
CHL  2002   51   0.00000   0.00000   0.00000   0.00000   0.00000
CHL  2002   52   0.00012   0.00000   0.00000   0.00000   0.00000
CHL  2002   53   0.00000   0.00000   0.00000   0.00000   0.00000
CHL  2002   54   0.00000   0.00000   0.00000   0.00000   0.00000
CHL  2002   55+  0.00000   0.00000   0.00000   0.00000   0.00000
CZE  1950   12-  0.00000         .         .         .         .
CZE  1950   13   0.00003         .         .         .         .
