PopName,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
GBR_SCO,01,m,60,5,C,31,03,1901,11,O,55564,.,.,.,1
GBR_SCO,01,m,65,5,C,31,03,1901,11,O,36978,.,.,.,1
GBR_SCO,01,m,70,5,C,31,03,1901,11,O,26312,.,.,.,1
GBR_SCO,01,m,75,5,C,31,03,1901,11,O,14760,.,.,.,1
GBR_SCO,01,m,80,5,C,31,03,1901,11,O,7263,.,.,.,1
GBR_SCO,01,m,85,5,C,31,03,1901,11,O,2213,.,.,.,1
GBR_SCO,01,m,90,5,C,31,03,1901,11,O,484,.,.,.,1
GBR_SCO,01,m,95,5,C,31,03,1901,11,O,94,.,.,.,1
GBR_SCO,01,m,100,5,C,31,03,1901,11,O,7,.,.,.,1
GBR_SCO,01,m,105,+,C,31,03,1901,11,O,0,.,.,.,1
GBR_SCO,01,m,UNK,.,C,31,03,1901,11,O,0,.,.,.,1
GBR_SCO,01,m,TOT,.,C,31,03,1901,11,O,2173755,.,.,.,1
GBR_SCO,01,f,0,1,C,31,03,1901,11,O,56667,.,.,.,1
GBR_SCO,01,f,1,1,C,31,03,1901,11,O,51802,.,.,.,1
GBR_SCO,01,f,2,1,C,31,03,1901,11,O,52818,.,.,.,1
GBR_SCO,01,f,3,1,C,31,03,1901,11,O,52341,.,.,.,1
GBR_SCO,01,f,4,1,C,31,03,1901,11,O,51043,.,.,.,1
GBR_SCO,01,f,5,5,C,31,03,1901,11,O,243435,.,.,.,1
GBR_SCO,01,f,10,5,C,31,03,1901,11,O,231034,.,.,.,1
GBR_SCO,01,f,15,5,C,31,03,1901,11,O,225682,.,.,.,1
GBR_SCO,01,f,20,5,C,31,03,1901,11,O,222896,.,.,.,1
GBR_SCO,01,f,25,5,C,31,03,1901,11,O,197631,.,.,.,1
GBR_SCO,01,f,30,5,C,31,03,1901,11,O,164284,.,.,.,1
GBR_SCO,01,f,35,5,C,31,03,1901,11,O,145273,.,.,.,1
GBR_SCO,01,f,40,5,C,31,03,1901,11,O,126717,.,.,.,1
GBR_SCO,01,f,45,5,C,31,03,1901,11,O,108338,.,.,.,1
GBR_SCO,01,f,50,5,C,31,03,1901,11,O,92842,.,.,.,1
GBR_SCO,01,f,55,5,C,31,03,1901,11,O,77154,.,.,.,1
GBR_SCO,01,f,60,5,C,31,03,1901,11,O,70045,.,.,.,1
GBR_SCO,01,f,65,5,C,31,03,1901,11,O,49805,.,.,.,1
